"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT18","WT18_ATTRIBUTES"
"USW00014792","1945-02-20","40.27681","-74.81587","57.9","TRENTON MERCER AIRPORT, NJ US","  638",",,X,","   79",",,X",,,"    0",",,X"," -106",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X"
"USW00014792","1945-02-21","40.27681","-74.81587","57.9","TRENTON MERCER AIRPORT, NJ US","   74",",,X,","    0","T,,X",,,"   11",",,X","  -83",",,X",,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,,,,"    1",",,X",,
"USW00014792","1945-02-22","40.27681","-74.81587","57.9","TRENTON MERCER AIRPORT, NJ US","  165",",,X,","    0",",,X",,,"   89",",,X","    6",",,X",,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,,,,"    1",",,X",,
"USW00014792","1945-02-23","40.27681","-74.81587","57.9","TRENTON MERCER AIRPORT, NJ US","   28",",,X,","    0",",,X",,,"   94",",,X","   17",",,X",,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,,,,"    1",",,X",,
"USW00014792","1945-02-24","40.27681","-74.81587","57.9","TRENTON MERCER AIRPORT, NJ US","    0",",,X,","    0",",,X",,,"   61",",,X","    6",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014792","1945-02-25","40.27681","-74.81587","57.9","TRENTON MERCER AIRPORT, NJ US","    0",",,X,","    0",",,X",,,"  100",",,X","    6",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014792","1945-02-26","40.27681","-74.81587","57.9","TRENTON MERCER AIRPORT, NJ US","  168",",,X,","    0",",,X",,,"  122",",,X","   11",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,
"USW00014792","1945-02-27","40.27681","-74.81587","57.9","TRENTON MERCER AIRPORT, NJ US","   43",",,X,","    0",",,X",,,"  144",",,X","    0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,"    1",",,X",,
"USW00014792","1945-02-28","40.27681","-74.81587","57.9","TRENTON MERCER AIRPORT, NJ US","   20",",,X,","    0",",,X",,,"    0",",,X","  -44",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,"    1",",,X","    1",",,X"
"USW00014792","1945-03-01","40.27681","-74.81587","57.9","TRENTON MERCER AIRPORT, NJ US","    0","T,,X,","    0","T,,X",,,"   89",",,X","  -11",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,"    1",",,X"
"USW00014792","1945-03-02","40.27681","-74.81587","57.9","TRENTON MERCER AIRPORT, NJ US","   28",",,X,",,,,,"  111",",,X","  -11",",,X",,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,"    1",",,X",,,"    1",",,X",,
"USW00014792","1945-03-03","40.27681","-74.81587","57.9","TRENTON MERCER AIRPORT, NJ US","   56",",,X,",,,,,"  150",",,X","   67",",,X",,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,"    1",",,X",,,"    1",",,X",,
"USW00014792","1945-03-04","40.27681","-74.81587","57.9","TRENTON MERCER AIRPORT, NJ US",,,,,,,"   89",",,X","    0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014792","1945-03-05","40.27681","-74.81587","57.9","TRENTON MERCER AIRPORT, NJ US","    3",",,X,",,,,,"   56",",,X","  -11",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,"    1",",,X",,
"USW00014792","1945-03-06","40.27681","-74.81587","57.9","TRENTON MERCER AIRPORT, NJ US","  127",",,X,",,,,,"   83",",,X","   22",",,X",,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,"    1",",,X",,,"    1",",,X",,
"USW00014792","1945-03-07","40.27681","-74.81587","57.9","TRENTON MERCER AIRPORT, NJ US","   41",",,X,",,,,,"   72",",,X","    0",",,X",,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,,,,"    1",",,X",,
"USW00014792","1945-03-08","40.27681","-74.81587","57.9","TRENTON MERCER AIRPORT, NJ US",,,,,,,"   67",",,X","  -39",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014792","1945-03-09","40.27681","-74.81587","57.9","TRENTON MERCER AIRPORT, NJ US",,,,,,,"   89",",,X","  -22",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014792","1945-03-10","40.27681","-74.81587","57.9","TRENTON MERCER AIRPORT, NJ US","    3",",,X,",,,,,"  111",",,X","    6",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,"    1",",,X",,
"USW00014792","1945-03-11","40.27681","-74.81587","57.9","TRENTON MERCER AIRPORT, NJ US",,,,,,,"   78",",,X","    6",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,
"USW00014792","1945-03-12","40.27681","-74.81587","57.9","TRENTON MERCER AIRPORT, NJ US","    0","T,,X,",,,,,"   78",",,X","  -17",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,"    1",",,X",,
"USW00014792","1945-03-13","40.27681","-74.81587","57.9","TRENTON MERCER AIRPORT, NJ US",,,,,,,"  128",",,X","    0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014792","1945-03-14","40.27681","-74.81587","57.9","TRENTON MERCER AIRPORT, NJ US",,,,,,,"  167",",,X","    0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,
"USW00014792","1945-03-15","40.27681","-74.81587","57.9","TRENTON MERCER AIRPORT, NJ US","    0","T,,X,",,,,,"  206",",,X","   56",",,X",,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,"    1",",,X",,,"    1",",,X",,
"USW00014792","1945-03-16","40.27681","-74.81587","57.9","TRENTON MERCER AIRPORT, NJ US","   15",",,X,",,,,,"  267",",,X","  100",",,X",,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,"    1",",,X",,,"    1",",,X",,
"USW00014792","1945-03-17","40.27681","-74.81587","57.9","TRENTON MERCER AIRPORT, NJ US","    0","T,,X,",,,,,"  294",",,X","  122",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,"    1",",,X",,
"USW00014792","1945-03-18","40.27681","-74.81587","57.9","TRENTON MERCER AIRPORT, NJ US",,,,,,,"  183",",,X","   83",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014792","1945-03-19","40.27681","-74.81587","57.9","TRENTON MERCER AIRPORT, NJ US","    8",",,X,",,,,,"  233",",,X","   56",",,X",,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,"    1",",,X",,,"    1",",,X",,
"USW00014792","1945-03-20","40.27681","-74.81587","57.9","TRENTON MERCER AIRPORT, NJ US","    0","T,,X,",,,,,"  283",",,X","  100",",,X",,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,"    1",",,X",,,"    1",",,X",,
"USW00014792","1945-03-21","40.27681","-74.81587","57.9","TRENTON MERCER AIRPORT, NJ US","   99",",,X,",,,,,"  172",",,X","   50",",,X",,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,"    1",",,X",,,"    1",",,X",,
"USW00014792","1945-03-22","40.27681","-74.81587","57.9","TRENTON MERCER AIRPORT, NJ US","   66",",,X,",,,,,"   50",",,X","   28",",,X",,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,"    1",",,X",,,"    1",",,X",,
"USW00014792","1945-03-23","40.27681","-74.81587","57.9","TRENTON MERCER AIRPORT, NJ US","    0","T,,X,",,,,,"  161",",,X","   22",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014792","1945-03-24","40.27681","-74.81587","57.9","TRENTON MERCER AIRPORT, NJ US",,,,,,,"  194",",,X","   50",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014792","1945-03-25","40.27681","-74.81587","57.9","TRENTON MERCER AIRPORT, NJ US",,,,,,,"  211",",,X","   44",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014792","1945-03-26","40.27681","-74.81587","57.9","TRENTON MERCER AIRPORT, NJ US",,,,,,,"  206",",,X","   39",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,
"USW00014792","1945-03-27","40.27681","-74.81587","57.9","TRENTON MERCER AIRPORT, NJ US","    0","T,,X,",,,,,"  239",",,X","   94",",,X",,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,"    1",",,X",,,,,,
"USW00014792","1945-03-28","40.27681","-74.81587","57.9","TRENTON MERCER AIRPORT, NJ US",,,,,,,"  289",",,X","  117",",,X",,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,"    1",",,X",,,,,,
"USW00014792","1945-03-29","40.27681","-74.81587","57.9","TRENTON MERCER AIRPORT, NJ US",,,,,,,"  306",",,X","  117",",,X",,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,"    1",",,X",,,,,,
"USW00014792","1945-03-30","40.27681","-74.81587","57.9","TRENTON MERCER AIRPORT, NJ US",,,,,,,"  239",",,X","  139",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014792","1945-03-31","40.27681","-74.81587","57.9","TRENTON MERCER AIRPORT, NJ US","   58",",,X,",,,,,"  250",",,X","  100",",,X",,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,"    1",",,X",,,"    1",",,X",,
"USW00014792","1945-04-01","40.27681","-74.81587","57.9","TRENTON MERCER AIRPORT, NJ US",,,,,,,"  222",",,X","   78",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014792","1945-04-02","40.27681","-74.81587","57.9","TRENTON MERCER AIRPORT, NJ US","   25",",,X,",,,,,"  228",",,X","  111",",,X",,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,"    1",",,X",,,"    1",",,X",,
"USW00014792","1945-04-03","40.27681","-74.81587","57.9","TRENTON MERCER AIRPORT, NJ US","    3",",,X,",,,,,"  228",",,X","  122",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,
"USW00014792","1945-04-04","40.27681","-74.81587","57.9","TRENTON MERCER AIRPORT, NJ US","    0","T,,X,",,,,,"  128",",,X","   56",",,X",,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,,,,"    1",",,X",,
